gtin,title_kk,brand,ingredients,company_id,certificate_status,notes,off_query
4607025392015,Айран 1% 450 мл,FoodMaster,"Сүт, қайма, ашытқы",,reference,KZ сүт өнімі,ayran kazakhstan
4607025392024,Айран 2.5% 900 мл,FoodMaster,"Сүт, қайма, ашытқы",,reference,,ayran kazakhstan
4607025392033,Кефир 1% 900 мл,FoodMaster,"Сүт, ашытқы",,reference,,kefir kazakhstan
4607025392042,Кефир 2.5% 450 мл,FoodMaster,"Сүт, ашытқы",,reference,,kefir kazakhstan
4607025392051,Сүт ультрапастерленген 2.5% 1 л,FoodMaster,Сүт,,reference,,
4607025392060,Сүт 3.2% 900 мл,FoodMaster,Сүт,,reference,,
4607025392079,Қаймақ 20% 180 г,FoodMaster,"Сүт, қайма",,reference,,
4607025392088,Творог 9% 200 г,FoodMaster,"Сүт, ашытқы",,reference,,
4607025392097,Сүзбе 5% 350 г,FoodMaster,Сүт,,reference,,
4607025392103,Йогурт түсімді 2.5% 125 г,FoodMaster,"Сүт, ашытқы, қант",,reference,,
4607025392112,Йогурт натуральный 3.2% 450 г,FoodMaster,"Сүт, ашытқы",,reference,,
4607025392121,Сметана 20% 400 г,FoodMaster,"Сүт, қайма",,reference,,
4607025392130,Маргарин 72% 200 г,FoodMaster,"май, су, тұз",,reference,құрамды тексеру,
4607025392149,Сары май 82.5% 180 г,FoodMaster,сүт майы,,reference,,
4607025392158,Ірімшік «Голландия» 45% 180 г,FoodMaster,"сүт, тұз, ашытқы",,reference,,
4607025392167,Ірімшік плавленый 400 г,FoodMaster,"сүт, май, тұз",,reference,,
4607025392176,Көмек 0.5 л,Coca-Cola,"су, қант, көмірқышқыл газы",,reference,сусын,coca cola kazakhstan
4607025392185,Coca-Cola 0.5 л,Coca-Cola,"су, қант, краситель",,reference,халықаралық GTIN,coca cola kazakhstan
4607025392194,Coca-Cola 1 л,Coca-Cola,"су, қант",,reference,,coca cola kazakhstan
4607025392200,Sprite 0.5 л,Coca-Cola,"су, қант, лимон қышқылы",,reference,,coca cola kazakhstan
4607025392219,Fanta апельсин 0.5 л,Coca-Cola,"су, қант, хош иістендіргіш",,reference,,coca cola kazakhstan
4607025392228,Шырай 1 л,Рахат,"су, қант, хош иістендіргіш",17163,active,,
4607025392237,Шырай 2 л,Рахат,"су, қант",17163,active,,
4607025392246,Нан «Алматы» 400 г,Нан зауыты,"ұн, су, тұз, ашытқы",21967,active,,
4607025392255,Нан батон 350 г,Нан зауыты,"ұн, су, тұз",21967,active,,
4607025392264,Бородинский нан 500 г,Нан зауыты,"ұн, молasses, тұз",21967,active,,
4607025392273,Ұн жоғарғы сорт 2 кг,Астық,ұн бидай,15182,active,,
4607025392282,Күріш дайын 900 г,Астық,күріш,15182,active,,
4607025392291,Макарон «Спагетти» 400 г,Макарон,"ұн, су",,reference,,
4607025392307,Күнбағыс майы 1 л,Май,күнбағыс тұқымы майы,16409,active,,
4607025392316,Оливкалық май Extra Virgin 500 мл,Май,зәйтүн майы,16409,active,,
4607025392325,Қант ақ 1 кг,Қант,сахароза,16235,active,,
4607025392334,Тұз кәдімгі 1 кг,Тұз,тұз,18961,active,,
4607025392343,Шай қара 100 пакет,Шай,шай,21131,active,,
4607025392352,Кофе растворимый 95 г,Кофе,"кофе, ароматизатор",21098,active,,
4607025392361,Бал натуральный 250 г,Бал,бал,16662,active,,
4607025392370,Джем құбарша 350 г,Консерві,"құбарша, қант, пектин",,reference,,
4607025392389,Кетчуп 500 г,Тұздық,"томат, қант, тұз, уксус",18961,active,,
4607025392398,Майонез Провансаль 400 г,Тұздық,"май, жұмыртқа, тұз, уксус",18961,active,,
4607025392404,Горчица 140 г,Тұздық,"қызылшә, тұз, уксус",18961,active,,
4607025392413,Шоколад сүтті 90 г,Кәмпит,"какао, сүт, қант",,reference,,
4607025392422,Печенье «Юбилейное» 112 г,Кәмпит,"ұн, қант, май",,reference,,
4607025392431,Чипсы рифленые 140 г,Снэк,"картоп, май, тұз",,reference,,
4607025392440,Сок апельсин 1 л,Сок,"концентрат, су, қант",18456,active,,
4607025392459,Сок алма-крыжовник 2 л,Сок,"концентрат, су",18456,active,,
4607025392468,Минералды су 1.5 л,Су,минералды су,21105,active,,
4607025392477,Энергетик 250 мл,Энергетик,"су, қант, кофеин, таурин",,reference,,
4607025392486,Лапша тез дайындалатын 70 г,Лапша,"ұн, тұз, май",,reference,,
4607025392495,Бұршақ консерві 400 г,Консерві,"бұршақ, су, тұз",,reference,,
4607025392501,Нокат арахис 50 г,Кәмпит,"арахис, қант",,reference,,
4607025392510,Йогурт питьевой клубника 290 мл,FoodMaster,"сүт, қант, ашытқы",,reference,,
4607025392529,Сосиски молочные 400 г,Ет,"шошқа/сиыр еті, тұз",,review_required,ет өнімі — құрамында шошқа көрсетілген, ресми сертификатпен қолмен тексеру керек,
4607025392538,Колбаса вареная 500 г,Ет,"ет, тұз, специя",22500,active,,
4607025392547,Филе куриное охлажденное 1 кг,Ет,тауық еті,22500,active,,
4607025392556,Рыба мороженая 1 кг,Балық,балық,,reference,,
4607025392565,Яйца куриные С0 10 шт,Жұмыртқа,жұмыртқа,,reference,,
4607025392574,Масло подсолнечное рафинированное 1 л,Май,күнбағыс майы,16409,active,,
4607025392583,Гречка 900 г,Крупа,гречка,,reference,,
4607025392592,Овсяные хлопья 500 г,Крупа,сұлы,,reference,,
4607025392608,Детское питание каша 200 г,Бала,"сұлы, сүт",16662,active,,
4607025392617,Вода питьевая 5 л,Су,су,21105,active,,
4607025392626,Сыр твердый 200 г,FoodMaster,"сүт, тұз, ашытқы",,reference,,
4607025392635,Ряженка 4% 500 мл,FoodMaster,"сүт, сахар",,reference,,
4607025392644,Кумыс 0.5 л,Дәстүрлі,"сүт, ашытқы",,reference,,
4607025392653,Шубат 0.5 л,Дәстүрлі,"түйе сүті, ашытқы",,reference,,
4607025392662,Құрт тұздалған 100 г,Дәстүрлі,"сүт, тұз",,reference,,
4607025392671,Балық консерві сайра 185 г,Консерві,"балық, май, тұз",,reference,,
4607025392680,Томат паста 270 г,Тұздық,томат,18961,active,,
4607025392699,Соус соевый 150 мл,Тұздық,"соя, тұз",18961,active,,
4607025392705,Чай зеленый 25 пакет,Шай,жасыл шай,21131,active,,
4607025392714,Какао порошок 100 г,Какао,"какао, қант",,reference,,
4607025392723,Мороженое пломбир 80 г,FoodMaster,"сүт, қант, май",,reference,,
4607025392732,Пельмени 1 кг,Тамақ,"ет, ұн, тұз",,reference,,
4607025392741,Манты замороженные 800 г,Тамақ,"ет, ұн",,reference,,
4607025392750,Самса с мясом 4 шт,Тамақ,"ет, ұн, май",,reference,,
4607025392769,Батончик шоколадный 50 г,Кәмпит,"какао, қант",,reference,,
4607025392778,Желе фруктовое 130 г,Кәмпит,"қант, желатин",,reference,желатин тегі тексеру,
4607025392787,Вафли 200 г,Кәмпит,"ұн, қант, май",,reference,,
4607025392796,Хлебцы рисовые 100 г,Снэк,күріш,,reference,,
4607025392802,Орехи грецкие 80 г,Снэк,жаңғақ,,reference,,
4607025392811,Изюм 150 г,Кептірілген,жүзім,,reference,,
4607025392820,Чай черный листовой 100 г,Шай,шай,21131,active,,
4607025392839,Сахар тростниковый 500 г,Қант,қант,16235,active,,
4607025392848,Уксус столовый 9% 500 мл,Тұздық,"су, уксус",18961,active,,
4607025392857,Сода пищевая 500 г,Қоспа,сода,,reference,,
4607025392866,Дрожжи сухие 11 г,Нан,"ашытқы, эмульгатор",21967,active,,
4607025392875,Крахмал картофельный 250 г,Қоспа,крахмал,,reference,,
4607025392884,Какао-напиток 25 г,Какао,"какао, қант, сүт ұнтағы",,reference,,
4607025392893,Сгущенное молоко 380 г,FoodMaster,"сүт, қант",,reference,,
4607025392909,Сливки 10% 200 мл,FoodMaster,сүт,,reference,,
4607025392918,Сыр плавленый ломтики 140 г,FoodMaster,"сүт, тұз",,reference,,
